,image_names,iou_values,iter_time
88,Russian_Blue_35,0.6641328338935241,1.2488378681474637e-06
89,Maine_Coon_3,0.7503836188463764,1.2488378681474637e-06
90,Sphynx_139,0.752595201525343,1.2488378681474637e-06
91,Persian_4,0.7725121268698888,1.2488378681474637e-06
92,Egyptian_Mau_155,0.5872892831210629,1.2488378681474637e-06
93,Siamese_189,0.8011724878209892,1.2488378681474637e-06
94,wheaten_terrier_53,0.7622045790251107,1.2488378681474637e-06
95,american_bulldog_95,0.7679405943887309,1.2488378681474637e-06
96,Abyssinian_44,0.7723715036874657,1.2488378681474637e-06
97,British_Shorthair_186,0.6691852974611595,1.2488378681474637e-06
98,Persian_7,0.9120317304368394,1.2488378681474637e-06
99,shiba_inu_72,0.8022020797419785,1.2488378681474637e-06
